record_id,customer_id,touch_date,channel,response_time_hours
MAR-001283,VIS-0310,2024-04-18,Push Notification,14.966446125866495
MAR-000972,VIS-0240,2023-07-10,Retarget Ad,25.983405608323817
MAR-001729,VIS-0409,2024-02-11,SMS,10.530875036501525
MAR-000741,VIS-0187,2023-08-31,Push Notification,10.879152447795226
MAR-001778,VIS-0425,2023-08-08,SMS,
MAR-000634,VIS-0160,2023-07-19,Push Notification,13.314469941487332
MAR-001036,VIS-0255,2023-06-08,Email,19.43803535507813
MAR-000858,VIS-0211,2024-03-21,Email,17.71019990354319
MAR-000960,VIS-0237,2023-08-06,Push Notification,11.738440670524682
MAR-001602,VIS-0382,2023-11-17,Retarget Ad,13.610720530565994
MAR-001175,VIS-0287,2024-01-24,Retarget Ad,8.627727900675733
MAR-000576,VIS-0144,2024-06-25,Push Notification,22.05339290053704
MAR-001660,VIS-0394,2023-08-09,Push Notification,11.442040180069206
MAR-000052,VIS-0012,2024-06-27,Email,25.114277144838745
MAR-000462,VIS-0111,2024-03-11,Retarget Ad,9.0115770826879
MAR-001609,VIS-0384,2024-01-29,Push Notification,7.500235772808106
MAR-000278,VIS-0062,2023-07-20,SMS,4.222904306971652
MAR-000034,VIS-0008,2023-07-30,Push Notification,0.1
MAR-000058,VIS-0013,2024-05-09,Retarget Ad,6.294024957906522
MAR-000298,VIS-0067,2023-10-24,Retarget Ad,6.544600914206713
MAR-001347,VIS-0323,2023-06-15,Retarget Ad,3.0056404979600235
MAR-001724,VIS-0408,2023-11-19,Push Notification,11.803943134406065
MAR-001212,VIS-0293,2023-11-08,Push Notification,0.34023971692219757
MAR-000679,VIS-0171,2023-10-25,Push Notification,10.325599954708476
MAR-001413,VIS-0335,2023-08-07,Retarget Ad,12.820069616405805
MAR-000713,VIS-0178,2023-08-30,SMS,9.946782532674323
MAR-000766,VIS-0193,2023-11-07,Push Notification,3.6948891007602587
MAR-000456,VIS-0108,2024-06-26,SMS,10.58473689900105
MAR-000065,VIS-0014,2024-02-07,Email,6.148960020056393
MAR-000266,VIS-0058,2023-08-31,Email,4.045299573162611
MAR-000197,VIS-0045,2023-12-08,SMS,14.232996811521794
MAR-000206,VIS-0047,2024-05-02,Email,8.728403233875405
MAR-000637,VIS-0160,2023-09-02,SMS,16.395431300859002
MAR-001314,VIS-0316,2024-05-01,Retarget Ad,3.5527478961488512
MAR-001319,VIS-0318,2023-10-29,SMS,16.46341572377518
MAR-001172,VIS-0286,2023-08-05,SMS,5.472324941129352
MAR-000361,VIS-0081,2024-04-24,SMS,10.257290081743701
MAR-000677,VIS-0170,2024-05-03,SMS,0.1
MAR-000526,VIS-0131,2023-06-16,Push Notification,2.767326146100375
MAR-000597,VIS-0150,2023-10-24,SMS,9.942778158644716
MAR-000865,VIS-0212,2023-11-11,Push Notification,0.5140250599605136
MAR-000770,VIS-0194,2023-11-19,SMS,14.617745446843509
MAR-001701,VIS-0404,2023-09-13,Retarget Ad,18.041190683445897
MAR-001507,VIS-0359,2023-07-12,Email,1.3654138703895424
MAR-000555,VIS-0140,2024-06-03,SMS,14.727361812581844
MAR-000802,VIS-0201,2023-10-24,SMS,2.8056128162266347
MAR-000575,VIS-0144,2023-12-13,Email,27.62708370315727
MAR-001717,VIS-0406,2024-04-13,Push Notification,19.219615505320323
MAR-000068,VIS-0014,2024-05-21,Retarget Ad,7.915244612641618
MAR-000996,VIS-0246,2023-12-17,Retarget Ad,10.208735516720337
MAR-000188,VIS-0043,2023-07-16,SMS,18.07681309133513
MAR-001648,VIS-0392,2024-03-12,SMS,
MAR-000432,VIS-0100,2024-03-08,Retarget Ad,11.581043734034138
MAR-000112,VIS-0024,2023-06-30,Retarget Ad,8.234976253330968
MAR-001176,VIS-0287,2023-08-05,Push Notification,8.409249631532095
MAR-000181,VIS-0041,2023-11-07,Retarget Ad,17.561473835055107
MAR-000252,VIS-0055,2024-06-23,Email,0.1
MAR-000569,VIS-0143,2023-08-27,SMS,12.751071458982201
MAR-000673,VIS-0169,2023-11-28,Push Notification,6.049133034454931
MAR-000889,VIS-0219,2024-04-02,Retarget Ad,7.1533902750155764
MAR-000302,VIS-0067,2023-08-18,Push Notification,6.46474780317431
MAR-000115,VIS-0024,2023-11-30,Retarget Ad,
MAR-000064,VIS-0014,2023-08-08,Push Notification,2.1103578009561685
MAR-001179,VIS-0287,2023-07-24,Push Notification,12.978758138473683
MAR-001680,VIS-0400,2023-06-25,Email,8.067539433015732
MAR-001058,VIS-0261,2024-06-11,Email,0.6318658062145284
MAR-001087,VIS-0266,2023-12-31,Push Notification,24.47237204446568
MAR-000161,VIS-0034,2024-04-27,SMS,5.539935409390074
MAR-001211,VIS-0293,2024-04-14,Push Notification,
MAR-000862,VIS-0211,2023-08-09,Email,23.038459135441407
MAR-001080,VIS-0266,2023-12-14,Retarget Ad,11.93093458964799
MAR-000039,VIS-0009,2023-09-18,Email,2.0708678172463957
MAR-000006,VIS-0003,2023-09-17,Retarget Ad,15.703634735062586
MAR-000000,VIS-0001,2024-04-08,SMS,0.6683051596099938
MAR-001270,VIS-0307,2023-10-03,Push Notification,12.088145404366628
MAR-000755,VIS-0190,2024-02-25,Retarget Ad,25.212419973811244
MAR-001813,VIS-0432,2024-01-18,SMS,4.899485507917168
MAR-001742,VIS-0413,2023-12-04,Retarget Ad,20.95795063940971
MAR-001259,VIS-0304,2023-08-31,Push Notification,13.163646416312975
MAR-000042,VIS-0009,2023-09-24,Push Notification,7.022915585411706
MAR-000935,VIS-0231,2024-05-28,Push Notification,12.85710416302699
MAR-001470,VIS-0349,2024-01-27,SMS,8.756570158220748
MAR-001578,VIS-0375,2023-11-06,Email,8.752745760722881
MAR-001310,VIS-0316,2023-08-20,Email,0.1
MAR-000583,VIS-0145,2023-09-09,SMS,0.1
MAR-000681,VIS-0171,2023-06-09,SMS,18.394162390706107
MAR-001466,VIS-0348,2023-12-16,Retarget Ad,11.581455890942483
MAR-001419,VIS-0336,2024-01-06,Email,4.016918718442477
MAR-000076,VIS-0016,2023-11-22,Push Notification,10.566012445053474
MAR-000226,VIS-0051,2024-02-02,Retarget Ad,19.248281980409146
MAR-000869,VIS-0215,2023-11-27,SMS,23.44956915588062
MAR-000642,VIS-0162,2024-06-01,Retarget Ad,18.850955397958604
MAR-000234,VIS-0052,2024-06-22,Email,11.033021647619384
MAR-001254,VIS-0302,2023-06-22,Email,20.787837361546355
MAR-000196,VIS-0045,2024-01-18,Email,8.242934193046084
MAR-000004,VIS-0002,2024-05-07,Email,17.035985764290764
MAR-000580,VIS-0145,2023-10-02,Push Notification,0.1
MAR-000730,VIS-0185,2024-03-27,Push Notification,6.764289151630557
MAR-001605,VIS-0384,2024-06-17,Push Notification,6.8659782782602
MAR-001336,VIS-0320,2024-04-10,Retarget Ad,9.458966999671247
MAR-000812,VIS-0202,2024-03-14,Push Notification,24.097433848516495
MAR-000615,VIS-0156,2024-02-13,SMS,1.5975447228940114
MAR-000759,VIS-0191,2024-03-26,Email,7.448828674772739
MAR-000082,VIS-0017,2024-02-07,Retarget Ad,17.833391864349213
MAR-000585,VIS-0146,2023-06-01,Retarget Ad,9.221158560088615
MAR-001734,VIS-0411,2024-05-12,Push Notification,1.8256018113759822
MAR-001369,VIS-0327,2023-07-02,Push Notification,5.694187492054568
MAR-001454,VIS-0345,2023-09-12,Email,11.189697264008496
MAR-000409,VIS-0094,2023-07-17,Retarget Ad,13.182589325502969
MAR-000118,VIS-0025,2024-04-06,Email,8.417571417631477
MAR-001599,VIS-0382,2023-10-28,Retarget Ad,9.792396787728702
MAR-000089,VIS-0020,2023-12-24,SMS,10.252712922662004
MAR-000465,VIS-0111,2023-09-18,Push Notification,1.1166172376911474
MAR-000218,VIS-0050,2023-11-29,Retarget Ad,5.4514956636833105
MAR-001403,VIS-0333,2023-09-22,Retarget Ad,0.1
MAR-000669,VIS-0168,2024-03-07,Email,28.45526110555418
MAR-000225,VIS-0051,2023-11-13,Email,7.0352821991331345
MAR-001391,VIS-0331,2024-03-29,Push Notification,0.1
MAR-000833,VIS-0205,2023-10-06,Retarget Ad,13.623848915949559
MAR-000480,VIS-0117,2024-04-08,Retarget Ad,19.28185359011928
MAR-000511,VIS-0126,2023-12-14,Retarget Ad,10.355381418298323
MAR-000087,VIS-0018,2023-09-04,Push Notification,
MAR-000819,VIS-0203,2024-05-09,Push Notification,27.05433910439941
MAR-001251,VIS-0302,2023-07-25,SMS,16.43511722283591
MAR-001414,VIS-0335,2023-09-11,Push Notification,4.801535565180771
MAR-001035,VIS-0255,2023-11-18,Retarget Ad,25.709855799580975
MAR-001561,VIS-0371,2024-04-06,Retarget Ad,0.1
MAR-001544,VIS-0369,2023-10-08,Push Notification,13.037104280293264
MAR-001788,VIS-0427,2024-05-15,SMS,11.3699076827574
MAR-001359,VIS-0325,2023-08-06,SMS,14.010328641687874
MAR-000305,VIS-0069,2024-02-16,Email,
MAR-000231,VIS-0052,2023-10-10,Email,18.26474875094752
MAR-000144,VIS-0030,2023-10-31,SMS,18.448357824046624
MAR-001551,VIS-0369,2024-02-13,Retarget Ad,10.58133218677795
MAR-000357,VIS-0080,2024-04-06,Email,11.272111978799565
MAR-000008,VIS-0004,2023-08-31,SMS,23.86928347900629
MAR-000726,VIS-0182,2024-01-09,Push Notification,19.512799451952283
MAR-001750,VIS-0416,2023-07-09,Push Notification,12.959019938658699
MAR-000844,VIS-0208,2023-09-02,SMS,0.1
MAR-001811,VIS-0431,2023-10-05,Retarget Ad,25.054610456275707
MAR-001702,VIS-0404,2024-05-04,Push Notification,9.569375200723375
MAR-000744,VIS-0187,2023-08-22,Retarget Ad,5.666277469012412
MAR-000011,VIS-0005,2023-12-11,Email,9.471342952893869
MAR-000200,VIS-0046,2023-07-14,SMS,17.85877778255452
MAR-000631,VIS-0160,2023-08-24,Email,4.969614230085915
MAR-001182,VIS-0287,2024-03-22,Push Notification,3.2807028491184393
MAR-001255,VIS-0302,2023-11-13,Push Notification,10.505468831755906
MAR-001370,VIS-0327,2023-06-09,Retarget Ad,4.51283103832554
MAR-000623,VIS-0159,2024-02-25,Push Notification,3.843793231239223
MAR-000241,VIS-0053,2024-06-01,SMS,5.395059281716669
MAR-000128,VIS-0026,2024-03-13,Push Notification,21.135099014474932
MAR-000743,VIS-0187,2024-02-13,Retarget Ad,0.1
MAR-001266,VIS-0306,2023-07-11,Push Notification,8.330372206687601
MAR-001157,VIS-0283,2024-02-20,Retarget Ad,27.41268471225637
MAR-000228,VIS-0051,2023-06-17,Email,1.8063318614596806
MAR-000957,VIS-0237,2023-09-06,Retarget Ad,4.740806256646571
MAR-001397,VIS-0332,2023-12-05,Email,11.507134663847788
MAR-001121,VIS-0275,2023-06-12,Retarget Ad,10.484059961305348
MAR-000764,VIS-0192,2024-06-24,Retarget Ad,19.302895012122043
MAR-001615,VIS-0386,2023-08-20,Push Notification,13.072942236523764
MAR-001463,VIS-0348,2024-04-09,Retarget Ad,13.897846851095506
MAR-001432,VIS-0339,2023-08-24,SMS,16.131637577548638
MAR-000154,VIS-0032,2023-09-29,Push Notification,0.5634315523508135
MAR-001048,VIS-0257,2024-04-13,Retarget Ad,12.237542048522997
MAR-001677,VIS-0399,2023-10-24,Retarget Ad,11.86426396868487
MAR-001219,VIS-0294,2023-10-12,Email,
MAR-001613,VIS-0385,2023-07-14,Retarget Ad,8.36538713387282
MAR-000254,VIS-0055,2023-08-19,Push Notification,0.1
MAR-000281,VIS-0062,2024-02-08,Email,9.940439521275886
MAR-000703,VIS-0176,2023-11-20,Push Notification,
MAR-000748,VIS-0188,2024-02-15,Retarget Ad,13.805929925694695
MAR-000611,VIS-0154,2023-07-31,Email,7.451170026935015
MAR-000901,VIS-0222,2024-01-11,Push Notification,7.571233562030704
MAR-000955,VIS-0237,2023-09-20,Retarget Ad,11.14557588675627
MAR-000621,VIS-0158,2023-09-26,Push Notification,11.98574146719413
MAR-000211,VIS-0048,2024-06-12,Push Notification,15.346815521834209
MAR-000774,VIS-0195,2023-09-06,Push Notification,13.725711017222078
MAR-001610,VIS-0384,2024-03-07,Push Notification,15.737219344741742
MAR-000452,VIS-0108,2023-07-01,Email,14.531816280823584
MAR-000263,VIS-0057,2024-06-17,Push Notification,0.1
MAR-000400,VIS-0091,2024-01-07,Push Notification,9.96607039401494
MAR-000429,VIS-0099,2024-06-11,Retarget Ad,10.955923464792559
MAR-000928,VIS-0230,2023-07-02,SMS,16.68959791411503
MAR-000798,VIS-0200,2023-06-01,Push Notification,0.1
MAR-000047,VIS-0011,2023-10-03,Email,12.636375508153513
MAR-000578,VIS-0145,2023-06-11,SMS,3.248760097029724
MAR-000485,VIS-0118,2023-07-11,Email,4.251958307224468
MAR-000557,VIS-0140,2024-01-05,Push Notification,8.248616111663688
MAR-000640,VIS-0162,2024-04-05,Retarget Ad,23.373188028454223
MAR-001162,VIS-0284,2023-09-22,SMS,13.917213879031387
MAR-001066,VIS-0264,2023-12-27,SMS,18.10049382122514
MAR-000887,VIS-0219,2024-04-16,Push Notification,17.374983630853837
MAR-000563,VIS-0141,2023-11-25,Email,13.821080296670658
MAR-000283,VIS-0062,2024-06-05,Push Notification,10.864297125832632
MAR-001667,VIS-0397,2023-08-09,SMS,12.51630745326814
MAR-001235,VIS-0299,2024-03-02,Email,2.88920060458467
MAR-001004,VIS-0247,2023-08-23,Retarget Ad,5.153547277043057
MAR-001669,VIS-0397,2024-01-19,Retarget Ad,9.299345906182417
MAR-000797,VIS-0200,2023-10-30,Retarget Ad,0.1
MAR-001540,VIS-0367,2024-06-12,Email,0.23663271561484978
MAR-001674,VIS-0398,2023-12-13,Push Notification,3.66366683135145
MAR-000905,VIS-0222,2023-10-04,Email,17.04400151493583
MAR-000581,VIS-0145,2024-03-03,SMS,13.055479555849784
MAR-001089,VIS-0267,2023-10-07,Retarget Ad,0.1
MAR-000891,VIS-0220,2023-10-28,Push Notification,8.841191662235069
MAR-001230,VIS-0299,2023-08-27,Email,8.592894018999186
MAR-001379,VIS-0329,2023-07-20,Push Notification,6.522943001192244
MAR-001278,VIS-0309,2024-02-26,Push Notification,
MAR-001546,VIS-0369,2023-10-23,SMS,9.366482149122907
MAR-000399,VIS-0090,2024-06-03,Retarget Ad,0.1
MAR-000165,VIS-0035,2023-09-21,Email,9.202221055871089
MAR-001488,VIS-0353,2023-08-27,Retarget Ad,21.464687034470987
MAR-000173,VIS-0038,2024-01-21,Email,11.106050348609953
MAR-001661,VIS-0395,2023-09-30,Retarget Ad,0.1
MAR-001826,VIS-0435,2024-01-16,Retarget Ad,11.37278253949462
MAR-000586,VIS-0146,2023-08-31,Retarget Ad,0.1
MAR-001587,VIS-0377,2023-08-07,SMS,7.410386482490164
MAR-001469,VIS-0349,2023-09-11,Retarget Ad,6.909059241346231
MAR-000148,VIS-0031,2024-01-20,Retarget Ad,8.727157347842933
MAR-000288,VIS-0065,2023-10-19,SMS,5.700682422649445
MAR-001523,VIS-0362,2023-08-01,SMS,0.2967744792908409
MAR-000897,VIS-0221,2023-12-05,Push Notification,0.1
MAR-001718,VIS-0407,2024-03-05,Retarget Ad,10.954928516204067
MAR-000417,VIS-0097,2024-02-05,Email,19.33109440886986
MAR-000155,VIS-0033,2024-01-01,Email,2.244056370900022
MAR-001558,VIS-0371,2023-12-18,SMS,
MAR-000032,VIS-0008,2024-03-10,Email,3.082512214811617
MAR-001512,VIS-0360,2023-10-18,Email,11.299240044744822
MAR-000501,VIS-0123,2024-04-02,SMS,4.663955678003972
MAR-000706,VIS-0177,2024-01-31,Email,1.3425712693372267
MAR-000466,VIS-0111,2023-07-24,SMS,6.433501302686589
MAR-001334,VIS-0320,2024-05-04,SMS,14.847171853990266
MAR-000727,VIS-0182,2023-06-14,Retarget Ad,9.759125449834771
MAR-000606,VIS-0154,2023-10-25,Email,0.4358171594449982
MAR-000371,VIS-0083,2024-05-03,Push Notification,13.622862139646
MAR-000792,VIS-0199,2023-08-07,SMS,6.402417066086611
MAR-000060,VIS-0013,2023-12-24,Email,0.8529039945878849
MAR-000916,VIS-0226,2024-04-03,Retarget Ad,7.299025473158275
MAR-001534,VIS-0366,2024-02-02,Push Notification,3.8465417986139414
MAR-000179,VIS-0040,2024-06-06,Retarget Ad,16.133771495466483
MAR-001317,VIS-0317,2024-06-20,Email,
MAR-000523,VIS-0130,2024-01-22,Retarget Ad,14.520899273595397
MAR-001533,VIS-0366,2024-03-02,Retarget Ad,7.117382011930324
MAR-001071,VIS-0264,2023-08-16,Email,14.681219522533098
MAR-000139,VIS-0029,2023-10-10,SMS,4.434695495968855
MAR-001285,VIS-0312,2023-11-11,SMS,0.1
MAR-000295,VIS-0067,2023-10-08,Retarget Ad,9.341408331676831
MAR-001276,VIS-0308,2024-02-08,Retarget Ad,3.377914359023954
MAR-001471,VIS-0349,2024-04-27,Retarget Ad,7.935428327164569
MAR-001366,VIS-0327,2023-12-28,Email,7.6169156637601185
MAR-000013,VIS-0005,2023-06-28,Push Notification,8.375776183330997
MAR-001563,VIS-0371,2024-01-05,SMS,0.1
MAR-000831,VIS-0205,2023-12-30,Retarget Ad,10.064378447615669
MAR-000245,VIS-0054,2023-12-30,SMS,0.1
MAR-001823,VIS-0434,2024-02-19,Email,10.660984119930259
MAR-000602,VIS-0150,2023-08-19,Retarget Ad,9.226615748147715
MAR-001164,VIS-0285,2024-02-02,SMS,14.495303295434077
MAR-000747,VIS-0188,2024-03-11,Retarget Ad,16.6776199180623
MAR-001026,VIS-0251,2023-09-19,Email,4.938119749821488
MAR-000307,VIS-0069,2023-10-04,Email,23.25697195766088
MAR-001557,VIS-0371,2024-01-18,SMS,0.2288470079325557
MAR-000705,VIS-0176,2023-09-10,Retarget Ad,13.590363788508734
MAR-000329,VIS-0074,2024-02-23,SMS,1.7809911088910115
MAR-001110,VIS-0272,2024-05-26,Email,22.101495539746534
MAR-001619,VIS-0386,2023-09-06,Retarget Ad,9.367977196483421
MAR-000714,VIS-0179,2023-11-29,Email,5.597256943376875
MAR-000628,VIS-0159,2023-10-04,Email,6.958718312112648
MAR-000738,VIS-0187,2023-12-20,Retarget Ad,6.924720731304349
MAR-001786,VIS-0427,2024-05-03,Retarget Ad,17.01499562248962
MAR-001460,VIS-0347,2023-06-19,Email,11.63766089897137
MAR-000841,VIS-0206,2023-06-13,Push Notification,4.665276845383944
MAR-000994,VIS-0246,2024-06-03,Push Notification,3.5692733466230466
MAR-001573,VIS-0373,2024-01-16,Push Notification,20.74523793246363
MAR-001754,VIS-0417,2023-10-29,Push Notification,3.9050138563450196
MAR-000980,VIS-0243,2024-04-22,Retarget Ad,0.1
MAR-000363,VIS-0081,2023-08-18,Push Notification,3.674550315549917
MAR-000940,VIS-0232,2024-04-04,Retarget Ad,16.634919236613673
MAR-000324,VIS-0073,2023-12-11,Email,0.1
MAR-001008,VIS-0248,2024-01-02,Push Notification,12.539244670752552
MAR-000389,VIS-0088,2024-03-15,Push Notification,9.491648936233714
MAR-001261,VIS-0305,2023-09-06,Push Notification,14.04330869025199
MAR-000108,VIS-0023,2024-04-02,Email,17.516015968764044
MAR-000588,VIS-0146,2024-02-28,Push Notification,0.5492257157506275
MAR-001307,VIS-0315,2023-12-07,SMS,0.1
MAR-000392,VIS-0088,2023-07-26,Retarget Ad,5.446990760179492
MAR-001628,VIS-0388,2024-01-11,Push Notification,10.593773512642748
MAR-000643,VIS-0162,2024-02-09,Push Notification,16.26180694784893
MAR-000650,VIS-0164,2023-08-19,Email,5.234941036033088
MAR-000824,VIS-0204,2023-07-10,Retarget Ad,17.2539810447755
MAR-001291,VIS-0312,2024-05-18,Retarget Ad,0.1
MAR-000244,VIS-0054,2023-10-21,Retarget Ad,6.348250485367412
MAR-000751,VIS-0188,2024-06-14,Email,18.71624792984003
MAR-001245,VIS-0301,2024-02-25,SMS,7.847842866783729
MAR-000437,VIS-0103,2023-08-23,Email,7.889619747850009
MAR-000789,VIS-0198,2024-06-27,SMS,17.29889835888314
MAR-000436,VIS-0101,2024-01-25,Push Notification,13.889248897827727
MAR-001639,VIS-0389,2023-08-05,Retarget Ad,
MAR-001830,VIS-0436,2023-07-07,SMS,4.673248166352693
MAR-001308,VIS-0315,2024-05-23,Push Notification,0.1
MAR-000376,VIS-0083,2023-08-09,Email,23.80187041026076
MAR-000473,VIS-0114,2024-02-22,Email,4.730696017468772
MAR-000322,VIS-0072,2023-06-02,Push Notification,
MAR-000930,VIS-0230,2024-02-21,SMS,16.485779527550097
MAR-000325,VIS-0073,2023-06-27,SMS,7.27225345139168
MAR-001368,VIS-0327,2024-01-27,Email,10.013989166764537
MAR-001536,VIS-0367,2024-01-08,Retarget Ad,6.915232890152293
MAR-000321,VIS-0072,2024-05-16,SMS,4.901294703014006
MAR-000162,VIS-0034,2023-09-16,Email,15.146750564344282
MAR-001032,VIS-0253,2024-03-26,Retarget Ad,4.037751004395733
MAR-000494,VIS-0120,2024-04-02,Retarget Ad,9.6288887210862
MAR-001315,VIS-0317,2023-06-08,Email,8.831879432378411
MAR-000338,VIS-0076,2024-02-06,SMS,5.713150515216096
MAR-001655,VIS-0394,2024-02-29,SMS,17.522224137712577
MAR-001406,VIS-0333,2024-04-20,Push Notification,0.1
MAR-000350,VIS-0079,2024-04-22,SMS,18.325179298368266
MAR-000365,VIS-0081,2024-04-23,Push Notification,22.520777570571134
MAR-000403,VIS-0093,2024-02-01,Push Notification,8.13589999610137
MAR-000574,VIS-0144,2024-02-02,Retarget Ad,23.734997062327615
MAR-000698,VIS-0175,2023-06-15,Email,8.753452659775014
MAR-001474,VIS-0350,2023-12-03,Retarget Ad,0.1
MAR-001320,VIS-0318,2023-12-01,SMS,19.50455759607918
MAR-001299,VIS-0313,2023-07-01,SMS,14.227427867385698
MAR-001292,VIS-0313,2024-03-11,Email,5.806948302244838
MAR-001298,VIS-0313,2023-07-05,Retarget Ad,11.674704679040115
MAR-000974,VIS-0241,2023-08-02,Retarget Ad,19.845563333456603
MAR-001400,VIS-0332,2023-08-03,Email,
MAR-001543,VIS-0368,2023-12-09,SMS,0.6503213775847803
MAR-001809,VIS-0431,2023-12-25,Retarget Ad,32.65610986639651
MAR-000261,VIS-0057,2023-08-31,Push Notification,0.1
MAR-000689,VIS-0173,2023-12-19,Push Notification,1.8286200721103447
MAR-001417,VIS-0336,2024-02-17,Email,3.68487789625957
MAR-001621,VIS-0386,2023-12-09,Email,8.475446512526089
MAR-000695,VIS-0175,2023-07-05,Retarget Ad,19.275204934386945
MAR-001571,VIS-0373,2023-08-04,SMS,18.09385400469558
MAR-000486,VIS-0118,2023-06-16,SMS,0.7607662715429715
MAR-000099,VIS-0022,2024-03-20,Push Notification,21.36463121433164
MAR-001169,VIS-0286,2023-10-07,SMS,6.486226434743964
MAR-001147,VIS-0280,2024-06-26,Push Notification,10.587494904978179
MAR-000337,VIS-0076,2023-12-30,Email,9.947823453996374
MAR-001331,VIS-0319,2024-02-18,Retarget Ad,2.288518466983499
MAR-001199,VIS-0290,2024-04-03,Email,26.687804034611908
MAR-001197,VIS-0290,2023-12-02,Push Notification,16.9138272733547
MAR-000075,VIS-0016,2024-05-14,SMS,21.388718808816783
MAR-001819,VIS-0433,2024-04-24,Push Notification,26.936524907036567
MAR-001719,VIS-0407,2024-04-06,Push Notification,12.656517037720349
MAR-000927,VIS-0229,2023-08-18,SMS,10.335273595755766
MAR-000499,VIS-0122,2024-06-15,Retarget Ad,
MAR-001492,VIS-0353,2023-12-26,Email,15.046331356806274
MAR-000754,VIS-0190,2023-07-11,Push Notification,23.657238963584497
MAR-001241,VIS-0300,2023-10-21,SMS,15.274401990303488
MAR-000863,VIS-0212,2024-01-25,SMS,4.262435357134472
MAR-001535,VIS-0366,2023-10-09,Retarget Ad,7.662864138754535
MAR-001385,VIS-0330,2023-12-24,Retarget Ad,12.418538059673924
MAR-001511,VIS-0360,2024-01-14,SMS,3.682612232839083
MAR-000514,VIS-0126,2024-05-25,Retarget Ad,8.927891723069344
MAR-000739,VIS-0187,2024-06-29,Email,7.716894753191783
MAR-001663,VIS-0396,2023-12-23,Email,2.570850363110434
MAR-000291,VIS-0065,2023-12-06,SMS,13.714978744852376
MAR-001346,VIS-0323,2023-06-24,Push Notification,4.056580873861944
MAR-000867,VIS-0214,2023-12-24,Push Notification,
MAR-001305,VIS-0315,2024-02-23,Push Notification,9.295053362881006
MAR-000593,VIS-0148,2023-12-10,Push Notification,20.339957814059577
MAR-001390,VIS-0331,2024-03-24,Retarget Ad,2.9687329076481133
MAR-001732,VIS-0410,2024-04-22,Retarget Ad,11.298000409954401
MAR-000259,VIS-0057,2024-02-07,Push Notification,0.1
MAR-000411,VIS-0094,2024-05-27,Push Notification,13.969042132644843
MAR-000605,VIS-0154,2024-01-02,Retarget Ad,4.904957370162037
MAR-001449,VIS-0344,2023-06-17,Push Notification,15.417831502490806
MAR-000883,VIS-0219,2024-06-09,Email,12.665870541373575
MAR-000997,VIS-0246,2023-06-14,Email,9.995960336006473
MAR-000785,VIS-0198,2023-08-25,Retarget Ad,19.643280420802256
MAR-000007,VIS-0004,2023-11-23,SMS,22.26075403257936
MAR-001595,VIS-0381,2023-10-31,SMS,11.69943045871303
MAR-001156,VIS-0283,2024-05-09,Email,22.75788218850421
MAR-001141,VIS-0280,2023-06-11,Push Notification,9.40608412765309
MAR-000103,VIS-0023,2023-12-07,Email,9.788856916797108
MAR-000550,VIS-0137,2024-05-15,Email,14.473782811610834
