record_id,customer_id,session_date,pages_viewed,bounce_flag
SES-000876,VIS-0097,2023-08-10,8.0,False
SES-002774,VIS-0300,2023-07-15,14.0,False
SES-001189,VIS-0129,2024-03-21,1.0,False
SES-000783,VIS-0086,2023-08-08,15.0,False
SES-003591,VIS-0385,2023-10-22,5.0,False
SES-002267,VIS-0249,2023-08-03,11.0,True
SES-003256,VIS-0349,2024-03-06,4.0,False
SES-000398,VIS-0045,2024-02-10,7.0,False
SES-002723,VIS-0294,2024-02-08,4.0,False
SES-003031,VIS-0326,2023-11-04,22.0,True
SES-001335,VIS-0144,2024-03-24,4.0,False
SES-002776,VIS-0300,2023-11-04,7.0,True
SES-000173,VIS-0020,2024-03-10,6.0,False
SES-000812,VIS-0090,2023-08-27,7.0,True
SES-000880,VIS-0098,2024-05-08,1.0,False
SES-001505,VIS-0164,2023-09-30,2.0,False
SES-002109,VIS-0230,2023-11-29,1.0,False
SES-001616,VIS-0176,2023-08-01,5.0,False
SES-003817,VIS-0410,2024-01-04,17.0,False
SES-000591,VIS-0067,2023-09-21,7.0,False
SES-001351,VIS-0147,2023-11-28,5.0,False
SES-002560,VIS-0278,2023-12-20,18.0,False
SES-002711,VIS-0293,2024-04-26,3.0,False
SES-003991,VIS-0429,2023-09-23,4.0,False
SES-001260,VIS-0137,2023-11-29,8.0,True
SES-001085,VIS-0119,2024-04-13,3.0,True
SES-003610,VIS-0387,2024-01-21,3.0,False
SES-003672,VIS-0394,2024-05-27,2.0,False
SES-002532,VIS-0276,2023-12-06,6.0,False
SES-002427,VIS-0266,2023-09-04,35.414224777406815,True
SES-000530,VIS-0060,2024-04-01,1.0,False
SES-003000,VIS-0322,2023-11-17,8.0,False
SES-000081,VIS-0009,2023-08-13,4.0,True
SES-003070,VIS-0330,2024-05-04,1.0,True
SES-002436,VIS-0267,2023-06-05,1.0,False
SES-003424,VIS-0368,2024-01-22,1.0,False
SES-002391,VIS-0262,2024-03-16,3.0,True
SES-002124,VIS-0232,2023-06-09,5.0,False
SES-002446,VIS-0268,2023-08-13,5.0,False
SES-003844,VIS-0413,2023-12-25,6.0,False
SES-004034,VIS-0435,2023-06-16,13.0,False
SES-000632,VIS-0070,2023-11-24,2.0,False
SES-001882,VIS-0204,2023-06-27,10.0,True
SES-000058,VIS-0006,2023-10-08,3.0,False
SES-001596,VIS-0174,2024-02-27,7.0,False
SES-004017,VIS-0432,2024-06-06,1.0,False
SES-003966,VIS-0427,2024-01-27,11.0,False
SES-001215,VIS-0132,2024-06-05,9.0,False
SES-001308,VIS-0142,2024-03-25,8.0,False
SES-001960,VIS-0213,2024-02-08,8.0,False
SES-000066,VIS-0007,2024-04-04,1.0,True
SES-003006,VIS-0323,2023-06-14,2.0,False
SES-003150,VIS-0338,2023-10-25,14.0,True
SES-000771,VIS-0085,2023-10-12,3.0,False
SES-000488,VIS-0056,2023-09-09,7.0,False
SES-002552,VIS-0277,2023-12-04,14.0,False
SES-000580,VIS-0065,2024-01-21,1.0,True
SES-002655,VIS-0287,2024-01-28,17.0,True
SES-003014,VIS-0324,2023-08-06,4.0,False
SES-001533,VIS-0167,2023-08-28,2.0,False
SES-003385,VIS-0363,2024-04-13,6.0,False
SES-000526,VIS-0060,2023-11-02,1.0,False
SES-002137,VIS-0233,2024-01-13,19.0,False
SES-002961,VIS-0319,2023-06-05,1.0,False
SES-002787,VIS-0301,2023-12-22,1.0,False
SES-001566,VIS-0171,2023-07-18,2.0,False
SES-003704,VIS-0398,2023-10-31,15.0,False
SES-002012,VIS-0220,2024-02-25,9.0,False
SES-002245,VIS-0246,2024-05-27,4.0,True
SES-002298,VIS-0252,2023-12-11,11.0,False
SES-000391,VIS-0045,2024-03-26,10.0,False
SES-002768,VIS-0299,2024-06-25,7.0,False
SES-001666,VIS-0182,2023-07-30,1.0,True
SES-002154,VIS-0235,2023-07-19,6.0,False
SES-003067,VIS-0330,2023-11-18,1.0,False
SES-001224,VIS-0133,2023-08-29,11.0,False
SES-000816,VIS-0090,2024-01-18,4.0,True
SES-000125,VIS-0014,2023-06-23,12.0,False
SES-003293,VIS-0353,2024-02-01,1.0,False
SES-002027,VIS-0221,2023-09-07,2.0,False
SES-000578,VIS-0064,2024-06-27,12.0,False
SES-002582,VIS-0280,2023-12-16,17.0,True
SES-001117,VIS-0122,2024-06-14,13.0,False
SES-002872,VIS-0309,2024-04-02,8.0,False
SES-001244,VIS-0135,2023-07-29,3.0,False
SES-001860,VIS-0201,2023-08-13,5.0,False
SES-002685,VIS-0291,2024-04-15,7.0,False
SES-003750,VIS-0402,2023-07-02,10.0,False
SES-001015,VIS-0112,2024-06-01,5.0,False
SES-002597,VIS-0281,2023-10-27,6.0,False
SES-003146,VIS-0337,2024-01-28,8.0,False
SES-001824,VIS-0198,2023-11-21,5.0,False
SES-000326,VIS-0037,2023-08-21,24.08743897536483,True
SES-001668,VIS-0182,2024-02-19,1.0,False
SES-000022,VIS-0002,2023-11-21,7.0,True
SES-002005,VIS-0218,2023-08-16,11.0,True
SES-002350,VIS-0257,2023-11-08,5.0,False
SES-002225,VIS-0244,2023-10-08,13.0,False
SES-002586,VIS-0280,2024-03-26,18.0,False
SES-000835,VIS-0092,2023-12-24,9.0,False
SES-002437,VIS-0267,2023-12-03,1.0,False
SES-001682,VIS-0183,2023-07-23,16.0,False
SES-001833,VIS-0198,2023-10-20,2.0,False
SES-001012,VIS-0111,2024-01-15,5.0,False
SES-000183,VIS-0022,2024-06-13,10.0,False
SES-001943,VIS-0211,2023-12-15,1.0,False
SES-003064,VIS-0330,2023-06-04,1.0,False
SES-002842,VIS-0305,2023-07-23,6.0,False
SES-003005,VIS-0323,2024-06-11,4.0,False
SES-002759,VIS-0298,2023-11-10,1.0,True
SES-000347,VIS-0040,2023-07-17,10.0,False
SES-002868,VIS-0308,2023-12-18,5.0,False
SES-003337,VIS-0357,2023-07-04,1.0,True
SES-003432,VIS-0369,2024-04-26,4.0,False
SES-000139,VIS-0016,2023-07-12,10.0,True
SES-001398,VIS-0153,2024-02-16,-8.81986643482729,True
SES-003821,VIS-0410,2024-04-06,15.0,False
SES-000439,VIS-0050,2023-11-17,7.0,True
SES-001188,VIS-0128,2023-08-11,16.0,False
SES-000657,VIS-0073,2024-04-27,8.0,True
SES-002428,VIS-0266,2023-06-29,14.0,False
SES-000400,VIS-0045,2024-03-05,12.0,True
SES-001349,VIS-0146,2023-07-24,13.0,False
SES-001366,VIS-0149,2023-07-04,16.0,True
SES-001847,VIS-0200,2023-08-12,14.0,True
SES-000403,VIS-0046,2023-09-26,21.0,False
SES-001471,VIS-0161,2024-04-26,1.0,False
SES-002251,VIS-0247,2024-05-24,1.0,False
SES-000228,VIS-0026,2024-06-15,1.0,False
SES-002224,VIS-0244,2024-04-03,12.0,True
SES-001741,VIS-0190,2023-10-09,10.0,True
SES-003468,VIS-0372,2023-12-24,7.0,False
SES-003588,VIS-0385,2024-01-05,5.0,True
SES-000898,VIS-0100,2024-06-02,4.0,False
SES-001151,VIS-0125,2024-02-04,6.0,False
SES-003476,VIS-0373,2024-01-29,10.0,False
SES-000109,VIS-0012,2024-01-12,21.0,True
SES-000496,VIS-0056,2023-08-31,5.0,False
SES-000425,VIS-0048,2023-10-11,1.0,False
SES-001075,VIS-0118,2023-12-17,10.0,True
SES-001409,VIS-0154,2023-10-21,11.0,True
SES-001501,VIS-0164,2023-08-21,1.0,False
SES-003264,VIS-0350,2023-10-13,10.0,False
SES-003131,VIS-0336,2023-11-15,5.0,False
SES-001240,VIS-0135,2023-09-27,6.0,True
SES-003780,VIS-0405,2024-02-19,17.0,False
SES-000536,VIS-0061,2023-08-05,12.0,True
SES-003413,VIS-0366,2023-08-25,6.0,False
SES-002157,VIS-0235,2024-04-16,10.0,True
SES-003200,VIS-0344,2023-07-01,15.0,False
SES-003180,VIS-0342,2023-12-08,12.0,False
SES-003098,VIS-0333,2024-06-15,1.0,False
SES-003336,VIS-0357,2024-03-12,1.0,False
SES-003125,VIS-0336,2024-01-04,6.0,False
SES-002335,VIS-0256,2023-09-27,13.0,False
SES-000362,VIS-0042,2024-05-04,1.0,True
SES-002706,VIS-0292,2024-02-18,16.0,False
SES-000639,VIS-0071,2023-12-15,7.0,False
SES-000793,VIS-0088,2024-04-05,2.0,False
SES-000331,VIS-0038,2023-06-13,11.0,False
SES-002606,VIS-0282,2023-09-27,8.0,True
SES-000836,VIS-0092,2023-12-02,11.0,True
SES-000447,VIS-0051,2023-10-15,8.0,True
SES-003245,VIS-0348,2024-03-17,1.0,False
SES-002523,VIS-0275,2024-02-07,5.0,False
SES-003226,VIS-0346,2024-04-23,1.0,False
SES-003867,VIS-0416,2024-03-25,13.0,True
SES-001168,VIS-0126,2023-06-08,10.0,False
SES-002259,VIS-0248,2024-02-16,16.0,False
SES-003753,VIS-0402,2023-10-14,4.0,False
SES-002856,VIS-0307,2024-03-19,6.0,False
SES-001586,VIS-0173,2024-04-27,7.0,False
SES-001574,VIS-0172,2024-02-17,4.0,True
SES-002760,VIS-0298,2023-10-08,1.0,False
SES-001684,VIS-0184,2024-02-10,13.0,True
SES-001778,VIS-0194,2023-09-14,7.0,False
SES-002178,VIS-0237,2024-02-22,3.0,False
SES-003073,VIS-0331,2023-09-04,33.893765362213415,True
SES-001150,VIS-0125,2023-08-05,5.0,False
SES-001732,VIS-0189,2024-06-19,13.0,False
SES-001812,VIS-0197,2024-06-24,5.0,False
SES-001991,VIS-0217,2024-03-03,1.0,False
SES-003133,VIS-0336,2024-06-24,1.0,True
SES-000426,VIS-0048,2024-03-02,3.0,False
SES-000278,VIS-0033,2024-05-16,8.0,False
SES-002744,VIS-0296,2023-10-17,6.0,False
SES-000111,VIS-0012,2023-10-25,21.0,False
SES-003189,VIS-0343,2024-01-08,7.0,False
SES-002231,VIS-0245,2024-01-07,2.0,False
SES-002415,VIS-0265,2024-03-24,7.0,True
SES-002599,VIS-0281,2024-02-15,3.0,False
SES-001139,VIS-0124,2023-12-29,1.0,False
SES-002984,VIS-0321,2023-06-04,12.0,False
SES-002508,VIS-0273,2023-11-06,18.0,True
SES-001058,VIS-0116,2024-01-12,6.0,True
SES-001852,VIS-0200,2023-07-23,12.0,False
SES-003595,VIS-0386,2023-12-16,1.0,True
SES-002006,VIS-0219,2023-12-13,4.0,False
SES-002453,VIS-0268,2024-05-16,8.0,False
SES-003618,VIS-0388,2023-06-06,3.0,True
SES-003982,VIS-0428,2023-08-05,13.0,False
SES-003403,VIS-0365,2024-01-22,16.0,False
SES-001576,VIS-0172,2023-12-20,3.0,False
SES-000113,VIS-0013,2023-06-17,8.0,False
SES-001865,VIS-0202,2024-06-23,8.0,True
SES-003561,VIS-0382,2024-05-30,13.0,False
SES-001344,VIS-0146,2023-12-23,9.0,True
SES-002900,VIS-0313,2023-09-12,2.0,True
SES-003481,VIS-0374,2023-11-24,7.0,False
SES-002347,VIS-0257,2024-02-29,8.0,False
SES-003282,VIS-0351,2023-08-30,1.0,True
SES-003702,VIS-0397,2023-08-12,8.0,False
SES-001103,VIS-0121,2024-02-03,1.0,False
SES-002630,VIS-0285,2023-07-29,11.0,False
SES-002010,VIS-0220,2023-11-16,7.0,False
SES-000914,VIS-0101,2024-06-25,20.0,False
SES-000722,VIS-0081,2024-05-06,2.0,False
SES-001582,VIS-0172,2024-04-02,4.0,False
SES-002405,VIS-0264,2024-06-12,11.0,True
SES-003386,VIS-0363,2023-06-02,8.0,False
SES-003215,VIS-0345,2023-10-06,22.0,False
SES-002264,VIS-0248,2023-07-23,16.0,True
SES-000267,VIS-0031,2023-09-10,4.0,False
SES-001343,VIS-0146,2024-02-23,10.0,True
SES-000935,VIS-0104,2024-02-24,12.0,True
SES-003521,VIS-0379,2024-03-25,11.0,False
SES-000104,VIS-0011,2023-12-07,2.0,True
SES-000849,VIS-0093,2024-03-15,6.0,False
SES-003568,VIS-0382,2024-02-11,19.0,True
SES-003124,VIS-0336,2024-03-13,3.0,False
SES-001164,VIS-0126,2024-05-04,12.0,False
SES-001315,VIS-0143,2023-06-28,11.0,True
SES-002066,VIS-0225,2024-03-20,6.0,True
SES-004008,VIS-0431,2023-08-22,18.0,False
SES-002144,VIS-0234,2023-07-22,1.0,False
SES-002639,VIS-0286,2023-08-24,16.0,True
SES-000818,VIS-0090,2024-04-12,5.0,False
SES-002489,VIS-0271,2024-02-16,10.0,False
SES-001534,VIS-0167,2024-05-14,2.0,True
SES-000093,VIS-0010,2023-11-23,19.0,True
SES-003988,VIS-0429,2023-12-11,9.0,False
SES-001416,VIS-0154,2023-06-13,8.0,False
SES-002265,VIS-0248,2023-09-21,17.0,False
SES-002399,VIS-0263,2024-01-05,6.0,False
SES-001247,VIS-0136,2023-09-12,10.0,False
SES-002966,VIS-0319,2023-06-04,1.0,False
SES-002065,VIS-0224,2024-06-03,1.0,False
SES-003775,VIS-0404,2024-04-13,9.0,False
SES-000145,VIS-0017,2024-05-03,7.0,True
SES-000942,VIS-0104,2023-06-10,12.0,False
SES-002581,VIS-0280,2023-12-09,14.0,False
SES-000260,VIS-0031,2024-04-30,6.0,False
SES-002777,VIS-0300,2023-06-22,11.0,False
SES-001298,VIS-0140,2024-03-10,16.0,False
SES-003765,VIS-0403,2023-06-06,7.0,False
SES-000614,VIS-0069,2023-06-06,9.0,False
SES-002318,VIS-0254,2024-01-27,10.0,False
SES-000475,VIS-0055,2023-09-29,2.0,True
SES-001296,VIS-0140,2024-03-02,18.0,True
SES-003972,VIS-0427,2024-01-14,15.0,True
SES-003953,VIS-0424,2023-09-27,1.0,False
SES-001542,VIS-0168,2023-06-13,2.0,False
SES-003901,VIS-0420,2024-03-08,5.0,True
SES-000365,VIS-0042,2024-04-10,1.0,False
SES-001373,VIS-0150,2023-09-21,4.0,False
SES-000517,VIS-0059,2024-02-14,15.0,False
SES-002002,VIS-0218,2023-06-23,15.0,True
SES-000232,VIS-0026,2023-08-10,2.0,False
SES-003219,VIS-0345,2024-01-07,19.0,False
SES-001595,VIS-0174,2023-09-16,6.0,False
SES-003155,VIS-0339,2023-10-14,4.0,False
SES-002169,VIS-0236,2023-06-14,5.0,False
SES-001105,VIS-0121,2024-04-10,1.0,False
SES-003556,VIS-0381,2023-06-09,9.0,True
SES-004005,VIS-0430,2024-01-07,3.0,False
SES-001972,VIS-0215,2023-09-09,7.0,False
SES-001988,VIS-0217,2023-06-02,5.0,True
SES-000930,VIS-0103,2024-04-15,15.0,True
SES-000235,VIS-0027,2024-03-11,7.0,False
SES-002029,VIS-0221,2023-08-27,1.0,True
SES-001954,VIS-0213,2023-12-28,12.0,True
SES-002373,VIS-0260,2024-03-01,7.0,True
SES-000608,VIS-0069,2024-05-08,8.0,False
SES-003720,VIS-0399,2024-06-22,1.0,False
SES-003963,VIS-0426,2024-04-28,1.0,False
SES-000219,VIS-0025,2024-01-22,3.0,True
SES-002208,VIS-0242,2024-02-13,4.0,False
SES-003634,VIS-0391,2023-11-09,13.0,False
SES-000042,VIS-0004,2024-03-11,11.0,False
SES-003660,VIS-0393,2024-06-26,2.0,False
SES-002644,VIS-0286,2024-01-29,12.0,False
SES-003870,VIS-0416,2023-12-08,13.0,False
SES-000392,VIS-0045,2024-02-29,6.0,True
SES-002653,VIS-0287,2023-06-26,17.0,False
SES-001364,VIS-0149,2024-05-29,21.0,False
SES-002212,VIS-0242,2023-10-15,1.0,False
SES-001614,VIS-0176,2024-05-22,7.0,False
SES-000932,VIS-0103,2023-09-23,15.0,False
SES-000832,VIS-0092,2024-06-16,10.0,False
SES-004000,VIS-0430,2024-03-26,1.0,False
SES-003604,VIS-0387,2023-11-15,9.0,True
SES-003719,VIS-0399,2024-01-23,3.0,False
SES-002642,VIS-0286,2023-09-26,18.0,False
SES-003876,VIS-0417,2023-06-22,5.0,False
SES-003190,VIS-0343,2023-11-23,8.0,True
SES-000811,VIS-0090,2024-03-04,3.0,False
SES-003833,VIS-0411,2023-09-04,13.0,False
SES-002459,VIS-0269,2024-06-22,14.0,False
SES-003974,VIS-0427,2024-05-20,12.0,False
SES-003713,VIS-0398,2023-09-22,12.0,False
SES-002566,VIS-0278,2024-01-17,22.0,False
SES-002807,VIS-0303,2023-12-08,2.0,True
SES-003846,VIS-0413,2023-12-22,5.0,False
SES-002800,VIS-0302,2024-01-15,2.0,False
SES-000698,VIS-0078,2024-03-10,6.0,False
SES-000478,VIS-0055,2023-10-09,1.0,False
SES-003811,VIS-0409,2023-10-09,8.0,True
SES-003505,VIS-0377,2024-05-14,9.0,False
SES-000460,VIS-0052,2023-11-17,1.0,False
SES-002458,VIS-0269,2023-08-23,10.0,True
SES-000038,VIS-0004,2024-03-31,9.0,False
SES-001910,VIS-0208,2024-01-31,13.0,False
SES-001511,VIS-0165,2023-10-17,4.0,True
SES-003677,VIS-0395,2024-01-10,7.0,True
SES-000958,VIS-0106,2023-10-20,9.0,False
SES-002320,VIS-0254,2024-06-22,10.0,False
SES-000079,VIS-0008,2024-03-19,8.0,False
SES-003524,VIS-0379,2024-03-25,7.0,False
SES-003631,VIS-0390,2023-10-05,13.0,False
SES-001920,VIS-0209,2024-02-18,4.0,False
SES-000606,VIS-0069,2024-03-04,12.0,False
SES-000116,VIS-0013,2023-07-28,8.0,False
SES-000025,VIS-0002,2023-09-04,7.0,False
SES-000532,VIS-0060,2023-08-07,1.0,False
SES-001876,VIS-0203,2023-09-18,18.0,True
SES-003555,VIS-0381,2024-05-23,4.0,False
SES-001707,VIS-0186,2024-01-15,11.0,False
SES-000562,VIS-0063,2024-01-30,8.0,False
SES-000742,VIS-0083,2024-01-26,14.0,True
SES-004009,VIS-0431,2023-10-16,12.0,False
SES-002193,VIS-0240,2023-06-30,3.0,False
SES-001488,VIS-0163,2024-02-29,1.0,False
SES-000855,VIS-0094,2023-06-12,2.0,True
SES-003935,VIS-0423,2023-11-20,13.0,False
SES-002338,VIS-0256,2024-06-15,7.0,False
SES-000823,VIS-0091,2024-05-10,5.0,True
SES-001207,VIS-0131,2024-01-18,1.0,True
SES-003437,VIS-0369,2023-12-15,5.0,True
SES-001319,VIS-0143,2024-03-30,5.0,False
SES-003491,VIS-0375,2024-04-03,1.0,False
SES-003543,VIS-0380,2024-06-16,4.0,False
SES-000259,VIS-0030,2023-07-13,9.0,False
SES-001969,VIS-0214,2023-08-27,9.0,False
SES-002323,VIS-0255,2023-06-03,2.0,False
SES-001654,VIS-0181,2023-09-25,1.0,False
SES-004006,VIS-0430,2024-06-01,4.0,True
SES-002150,VIS-0235,2024-05-19,11.0,False
SES-002754,VIS-0297,2024-03-09,5.0,False
SES-000071,VIS-0008,2023-10-08,7.0,False
SES-004023,VIS-0433,2023-07-01,14.0,True
SES-000311,VIS-0036,2023-11-21,-27.504222660932403,False
SES-003416,VIS-0367,2024-02-26,5.0,False
SES-000599,VIS-0068,2024-04-15,13.0,True
SES-003374,VIS-0361,2023-07-09,4.0,True
SES-002699,VIS-0292,2023-12-31,15.0,True
SES-002146,VIS-0234,2023-12-13,1.0,True
SES-002068,VIS-0225,2023-06-12,11.0,False
SES-003332,VIS-0357,2023-07-07,1.0,False
SES-002912,VIS-0314,2023-12-27,16.0,False
SES-000103,VIS-0011,2024-04-16,1.0,False
SES-000624,VIS-0070,2024-01-01,4.0,False
SES-003573,VIS-0383,2023-11-19,7.0,False
SES-003916,VIS-0421,2023-10-31,13.0,False
SES-001249,VIS-0136,2023-09-28,4.0,True
SES-002228,VIS-0245,2023-08-11,8.0,False
SES-000589,VIS-0067,2023-08-10,11.0,False
SES-002081,VIS-0227,2023-11-23,12.0,False
SES-003426,VIS-0368,2024-05-03,1.0,False
SES-001008,VIS-0111,2024-04-09,10.0,False
SES-004031,VIS-0435,2023-07-25,11.0,True
SES-000679,VIS-0076,2024-04-28,5.0,False
SES-002022,VIS-0221,2023-09-25,3.0,False
SES-002314,VIS-0254,2024-02-20,14.0,False
SES-001115,VIS-0122,2023-11-08,13.0,False
SES-002215,VIS-0243,2024-05-19,9.0,False
SES-003182,VIS-0342,2024-06-23,17.0,False
SES-002161,VIS-0236,2023-11-08,13.0,False
SES-001681,VIS-0183,2023-11-21,18.0,False
SES-002620,VIS-0283,2023-10-09,1.0,False
SES-003090,VIS-0332,2024-06-11,1.0,False
SES-002115,VIS-0231,2024-01-05,13.0,False
SES-003335,VIS-0357,2024-06-26,1.0,True
SES-002189,VIS-0239,2024-01-25,3.0,True
SES-001422,VIS-0155,2023-07-22,6.0,False
SES-001333,VIS-0144,2024-04-15,5.0,False
SES-003805,VIS-0409,2024-04-03,9.0,True
SES-003170,VIS-0341,2023-12-30,10.0,False
SES-002657,VIS-0288,2023-10-27,13.0,False
SES-003388,VIS-0363,2024-02-01,8.0,False
SES-001307,VIS-0141,2024-02-16,2.0,False
SES-003978,VIS-0427,2024-03-03,12.0,True
SES-003830,VIS-0411,2023-12-25,14.0,False
SES-000135,VIS-0015,2023-10-11,16.0,False
SES-002928,VIS-0315,2023-10-01,5.0,False
SES-002874,VIS-0310,2023-09-15,10.0,True
SES-000629,VIS-0070,2023-10-19,6.0,False
SES-001415,VIS-0154,2023-10-19,14.0,True
SES-001749,VIS-0190,2023-10-20,12.0,False
SES-002138,VIS-0233,2023-06-10,15.0,False
SES-001706,VIS-0186,2023-11-12,8.0,False
SES-000124,VIS-0013,2023-11-14,8.0,False
SES-000226,VIS-0026,2023-12-11,1.0,True
SES-000256,VIS-0030,2023-11-06,13.0,True
SES-000251,VIS-0029,2023-07-15,1.0,False
SES-000601,VIS-0068,2023-07-01,7.0,True
SES-003832,VIS-0411,2024-01-24,12.0,True
SES-001245,VIS-0135,2024-04-30,2.0,False
SES-001915,VIS-0208,2024-06-27,13.0,True
SES-003537,VIS-0380,2024-02-26,4.0,False
SES-001742,VIS-0190,2024-01-05,12.0,False
SES-002422,VIS-0265,2024-03-06,2.0,False
SES-004044,VIS-0436,2024-06-09,6.0,True
SES-003033,VIS-0326,2024-02-12,23.0,True
SES-003482,VIS-0374,2024-06-17,7.0,False
SES-001218,VIS-0132,2023-11-13,11.0,False
SES-002075,VIS-0226,2023-08-14,9.0,False
