customer_id,converted
VIS-0342,Yes
VIS-0343,No
VIS-0344,No
VIS-0345,Yes
VIS-0346,No
VIS-0347,No
VIS-0348,No
VIS-0349,Yes
VIS-0351,No
VIS-0352,No
VIS-0354,No
VIS-0356,No
VIS-0357,No
VIS-0358,No
VIS-0359,No
VIS-0360,Yes
VIS-0362,No
VIS-0363,Yes
VIS-0364,No
VIS-0365,No
VIS-0366,No
VIS-0368,No
VIS-0370,Yes
VIS-0371,Yes
VIS-0372,No
VIS-0373,No
VIS-0374,Yes
VIS-0375,Yes
VIS-0376,No
VIS-0377,Yes
VIS-0378,No
VIS-0380,No
VIS-0381,No
VIS-0382,No
VIS-0383,No
VIS-0384,No
VIS-0385,No
VIS-0386,No
VIS-0387,No
VIS-0388,No
VIS-0389,No
VIS-0390,Yes
VIS-0391,No
VIS-0392,No
VIS-0393,Yes
VIS-0394,No
VIS-0395,No
VIS-0396,No
VIS-0397,Yes
VIS-0399,No
VIS-0400,Yes
VIS-0401,Yes
VIS-0403,No
VIS-0404,No
VIS-0405,Yes
VIS-0407,No
VIS-0408,No
VIS-0409,No
VIS-0410,Yes
VIS-0411,No
VIS-0412,No
VIS-0413,No
VIS-0414,No
VIS-0416,Yes
VIS-0417,Yes
VIS-0418,Yes
VIS-0419,No
VIS-0420,No
VIS-0421,No
VIS-0422,No
VIS-0423,No
VIS-0424,No
VIS-0425,No
VIS-0426,No
VIS-0427,No
VIS-0428,No
VIS-0429,No
VIS-0430,No
VIS-0431,No
VIS-0432,No
VIS-0434,No
VIS-0436,No
VIS-0437,No
